objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
c.xii-p.57,canto_xii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.57-C.XII.jpg,objects/small/MF-p.57-C.XII.jpg,objects/thumbs/MF-p.57-C.XII.jpg,,
c.xii-p.58,canto_xii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.58-C.XII.jpg,objects/small/MF-p.58-C.XII.jpg,objects/thumbs/MF-p.58-C.XII.jpg,,
c.xii-p.59,canto_xii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.59-C.XII.jpg,objects/small/MF-p.59-C.XII.jpg,objects/thumbs/MF-p.59-C.XII.jpg,,
c.xii-p.60,canto_xii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.60-C.XII.jpg,objects/small/MF-p.60-C.XII.jpg,objects/thumbs/MF-p.60-C.XII.jpg,,
canto_xiii,,Canto XIII - Martín Fierro,,José Hernández,Imprenta de La Pampa,1872,<i>El Gaucho Martín Fierro</i> por José Hernández,verso; impreso; los indios; el desierto,Buenos Aires,-34.6,-58.4333,University of California,,,p.61-65,,,español,transcripciones,,objects/small/MF-p.61-C.XIII.jpg,objects/thumbs/MF-p.61-C.XIII.jpg,,/objects/transcripciones/mf-c13.html
c.xiii-p.61,canto_xiii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.61-C.XIII.jpg,objects/small/MF-p.61-C.XIII.jpg,objects/thumbs/MF-p.61-C.XIII.jpg,,
c.xiii-p.62,canto_xiii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.62-C.XIII.jpg,objects/small/MF-p.62-C.XIII.jpg,objects/thumbs/MF-p.62-C.XIII.jpg,,
c.xiii-p.63,canto_xiii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.63-C.XIII.jpg,objects/small/MF-p.63-C.XIII.jpg,objects/thumbs/MF-p.63-C.XIII.jpg,,
c.xiii-p.64,canto_xiii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.64-C.XIII.jpg,objects/small/MF-p.64-C.XIII.jpg,objects/thumbs/MF-p.64-C.XIII.jpg,,
c.xiii-p.65,canto_xiii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.65-C.XIII.jpg,objects/small/MF-p.65-C.XIII.jpg,objects/thumbs/MF-p.65-C.XIII.jpg,,
